Country,Unemployment rate,Agricultural Land( %),Population,Land Area(Km2),GDP,Life expectancy
Guinea-Bissau,2.47%,58.00%,"1,920,922","36,125","$1,340,389,411",58
Guyana,11.85%,8.60%,"782,766","214,969","$4,280,443,645",69.8
Haiti,13.78%,66.80%,"11,263,077","27,750","$8,498,981,821",63.7
Vatican City,,,836,0,,
Honduras,5.39%,28.90%,"9,746,117","112,090","$25,095,395,475",75.1
Hungary,3.40%,58.40%,"9,769,949","93,028","$160,967,157,504",75.8
Iceland,2.84%,18.70%,"361,313","103,000","$24,188,035,739",82.7
India,5.36%,60.40%,"1,366,417,754","3,287,263","$2,611,000,000,000",69.4
Indonesia,4.69%,31.50%,"270,203,917","1,904,569","$1,119,190,780,753",71.5
Iran,11.38%,28.20%,"82,913,906","1,648,195","$445,345,282,123",76.5
Iraq,12.82%,21.40%,"39,309,783","438,317","$234,094,042,939",70.5
Republic of Ireland,4.93%,64.50%,"5,007,069","70,273","$388,698,711,348",82.3
Israel,3.86%,24.60%,"9,053,300","20,770","$395,098,666,122",82.8
Italy,9.89%,43.20%,"60,297,396","301,340","$2,001,244,392,042",82.9
Jamaica,8.00%,41.00%,"2,948,279","10,991","$16,458,071,068",74.4
Japan,2.29%,12.30%,"126,226,568","377,944","$5,081,769,542,380",84.2
Jordan,14.72%,12.00%,"10,101,694","89,342","$43,743,661,972",74.4
Kazakhstan,4.59%,80.40%,"18,513,930","2,724,900","$180,161,741,180",73.2
Kenya,2.64%,48.50%,"52,573,973","580,367","$95,503,088,538",66.3
Kiribati,,42.00%,"117,606",811,"$194,647,202",68.1
Kuwait,2.18%,8.40%,"4,207,083","17,818","$134,761,198,946",75.4
Kyrgyzstan,6.33%,55.00%,"6,456,900","199,951","$8,454,619,608",71.4
Laos,0.63%,10.30%,"7,169,455","236,800","$18,173,839,128",67.6
Latvia,6.52%,31.10%,"1,912,789","64,589","$34,117,202,555",74.7
Lebanon,6.23%,64.30%,"6,855,713","10,400","$53,367,042,272",78.9
Lesotho,23.41%,77.60%,"2,125,268","30,355","$2,460,072,444",53.7
Liberia,2.81%,28.00%,"4,937,374","111,369","$3,070,518,100",63.7
Libya,18.56%,8.70%,"6,777,452","1,759,540","$52,076,250,948",72.7
Liechtenstein,,32.20%,"38,019",160,"$6,552,858,739",83
Lithuania,6.35%,47.20%,"2,786,844","65,300","$54,219,315,600",75.7
Luxembourg,5.36%,53.70%,"645,397","2,586","$71,104,919,108",82.1
Madagascar,1.76%,71.20%,"26,969,307","587,041","$14,083,906,357",66.7
Malawi,5.65%,61.40%,"18,628,747","118,484","$7,666,704,427",63.8
Malaysia,3.32%,26.30%,"32,447,385","329,847","$364,701,517,788",76
Maldives,6.14%,26.30%,"530,953",298,"$5,729,248,472",78.6
Mali,7.22%,33.80%,"19,658,031","1,240,192","$17,510,141,171",58.9
Malta,3.47%,32.40%,"502,653",316,"$14,786,156,563",82.3
Marshall Islands,,63.90%,"58,791",181,"$221,278,000",65.2
Mauritania,9.55%,38.50%,"4,525,696","1,030,700","$7,593,752,450",64.7
Mauritius,6.67%,42.40%,"1,265,711","2,040","$14,180,444,557",74.4
Mexico,3.42%,54.60%,"126,014,024","1,964,375","$1,258,286,717,125",75
Federated States of Micronesia,,31.40%,"113,815",702,"$401,932,279",67.8
Moldova,5.47%,74.20%,"2,657,637","33,851","$11,955,435,457",71.8
Monaco,,,"38,964",2,"$7,184,844,193",
Mongolia,6.01%,71.50%,"3,225,167","1,564,116","$13,852,850,259",69.7
Montenegro,14.88%,19.00%,"622,137","13,812","$5,494,736,901",76.8
Morocco,9.02%,68.50%,"36,910,560","446,550","$118,725,279,596",76.5
Mozambique,3.24%,63.50%,"30,366,036","799,380","$14,934,159,926",60.2
Myanmar,1.58%,19.50%,"54,045,420","676,578","$76,085,852,617",66.9
Namibia,20.27%,47.10%,"2,494,530","824,292","$12,366,527,719",63.4
Nauru,,,"10,084",21,"$133,000,000",
Nepal,1.41%,28.70%,"28,608,710","147,181","$30,641,380,604",70.5
Netherlands,3.20%,53.30%,"17,332,850","41,543","$909,070,395,161",81.8
New Zealand,4.07%,40.50%,"4,841,000","268,838","$206,928,765,544",81.9
Nicaragua,6.84%,42.10%,"6,545,502","130,370","$12,520,915,291",74.3
Niger,0.47%,36.10%,"23,310,715","1,267,000","$12,928,145,120",62
Nigeria,8.10%,77.70%,"200,963,599","923,768","$448,120,428,859",54.3
North Korea,2.74%,21.80%,"25,666,161","120,538","$32,100,000,000",72.1
North Macedonia,,,"1,836,713","25,713","$10,220,781,069",
Norway,3.35%,2.70%,"5,347,896","323,802","$403,336,363,636",82.8
Oman,2.67%,4.60%,"5,266,535","309,500","$76,983,094,928",77.6
Pakistan,4.45%,47.80%,"216,565,318","796,095","$304,400,000,000",67.1
Palau,,10.90%,"18,233",459,"$283,994,900",69.1
Palestinian National Authority,,,,,,
Panama,3.90%,30.40%,"4,246,439","75,420","$66,800,800,000",78.3
Papua New Guinea,2.46%,2.60%,"8,776,109","462,840","$24,969,611,435",64.3
Paraguay,4.81%,55.10%,"7,044,636","406,752","$38,145,288,940",74.1
Peru,3.31%,18.50%,"32,510,453","1,285,216","$226,848,050,820",76.5
Philippines,2.15%,41.70%,"108,116,615","300,000","$376,795,508,680",71.1
Poland,3.47%,46.90%,"37,970,874","312,685","$592,164,400,688",77.6
Portugal,6.33%,39.50%,"10,269,417","92,212","$237,686,075,635",81.3
Qatar,0.09%,5.80%,"2,832,067","11,586","$183,466,208,791",80.1
Romania,3.98%,58.80%,"19,356,544","238,391","$250,077,444,017",75.4
Russia,4.59%,13.30%,"144,373,535","17,098,240","$1,699,876,578,871",72.7
Rwanda,1.03%,73.40%,"12,626,950","26,338","$10,122,472,590",68.7
Saint Kitts and Nevis,,23.10%,"52,823",261,"$1,050,992,593",71.3
Saint Lucia,20.71%,17.40%,"182,790",616,"$2,122,450,630",76.1
Saint Vincent and the Grenadines,18.88%,25.60%,"100,455",389,"$825,385,185",72.4
Samoa,8.36%,12.40%,"202,506","2,831","$850,655,017",73.2
San Marino,,16.70%,"33,860",61,"$1,637,931,034",85.4
S�����������,13.37%,50.70%,"215,056",964,"$429,016,605",70.2
Saudi Arabia,5.93%,80.80%,"34,268,528","2,149,690","$792,966,838,162",75
Senegal,6.60%,46.10%,"16,296,364","196,722","$23,578,084,052",67.7
Serbia,12.69%,39.30%,"6,944,975","77,474","$51,409,167,351",75.5
Seychelles,,3.40%,"97,625",455,"$1,698,843,063",72.8
Sierra Leone,4.43%,54.70%,"7,813,215","71,740","$3,941,474,311",54.3
Singapore,4.11%,0.90%,"5,703,569",716,"$372,062,527,489",83.1
Slovakia,5.56%,39.20%,"5,454,073","49,035","$105,422,304,976",77.2
Slovenia,4.20%,30.70%,"2,087,946","20,273","$53,742,159,517",81
Solomon Islands,0.58%,3.90%,"669,823","28,896","$1,425,074,226",72.8
Somalia,11.35%,70.30%,"15,442,905","637,657","$4,720,727,278",57.1
South Africa,28.18%,79.80%,"58,558,270","1,219,090","$351,431,649,241",63.9
South Korea,4.15%,17.40%,"51,709,098","99,720","$2,029,000,000,000",82.6
South Sudan,12.24%,,"11,062,113","644,329","$11,997,800,751",57.6
Spain,13.96%,52.60%,"47,076,781","505,370","$1,394,116,310,769",83.3
Sri Lanka,4.20%,43.70%,"21,803,000","65,610","$84,008,783,756",76.8
Sudan,16.53%,28.70%,"42,813,238","1,861,484","$18,902,284,476",65.1
Suriname,7.33%,0.60%,"581,372","163,820","$3,985,250,737",71.6
Sweden,6.48%,7.40%,"10,285,453","450,295","$530,832,908,738",82.5
Switzerland,4.58%,38.40%,"8,574,832","41,277","$703,082,435,360",83.6
Syria,8.37%,75.80%,"17,070,135","185,180","$40,405,006,007",71.8
Tajikistan,11.02%,34.10%,"9,321,018","144,100","$8,116,626,794",70.9
Tanzania,1.98%,44.80%,"58,005,463","947,300","$63,177,068,175",65
Thailand,0.75%,43.30%,"69,625,582","513,120","$543,649,976,166",76.9
East Timor,4.55%,25.60%,"3,500,000","14,874","$1,673,540,300",69.3
Togo,2.04%,70.20%,"8,082,366","56,785","$5,459,979,417",60.8
Tonga,1.12%,45.80%,"100,209",747,"$450,353,314",70.8
Trinidad and Tobago,2.69%,10.50%,"1,394,973","5,128","$24,100,202,834",73.4
Tunisia,16.02%,64.80%,"11,694,719","163,610","$38,797,709,924",76.5
Turkey,13.49%,49.80%,"83,429,615","783,562","$754,411,708,203",77.4
Turkmenistan,3.91%,72.00%,"5,942,089","488,100","$40,761,142,857",68.1
Tuvalu,,60.00%,"11,646",26,"$47,271,463",
Uganda,1.84%,71.90%,"44,269,594","241,038","$34,387,229,486",63
Ukraine,8.88%,71.70%,"44,385,155","603,550","$153,781,069,118",71.6
United Arab Emirates,2.35%,5.50%,"9,770,529","83,600","$421,142,267,938",77.8
United Kingdom,3.85%,71.70%,"66,834,405","243,610","$2,827,113,184,696",81.3
United States,14.70%,44.40%,"328,239,523","9,833,517","$21,427,700,000,000",78.5
Uruguay,8.73%,82.60%,"3,461,734","176,215","$56,045,912,952",77.8
Uzbekistan,5.92%,62.90%,"33,580,650","447,400","$57,921,286,440",71.6
Vanuatu,4.39%,15.30%,"299,882","12,189","$917,058,851",70.3
Venezuela,8.80%,24.50%,"28,515,829","912,050","$482,359,318,768",72.1
Vietnam,2.01%,39.30%,"96,462,106","331,210","$261,921,244,843",75.3
Yemen,12.91%,44.60%,"29,161,922","527,968","$26,914,402,224",66.1
Zambia,11.43%,32.10%,"17,861,030","752,618","$23,064,722,446",63.5
Zimbabwe,4.95%,41.90%,"14,645,468","390,757","$21,440,758,800",61.2
